supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
29MXVCL2076I3ZS,"CHOUDHURY, BAKSHI AND MAHARAJ",INV/2601/00001,2026-01-01,012026,51158.15,4546.17,4546.17,0.0,9092.34,8708;2106;4819;7208,ACTIVE,C01-GSTINV-00001,match
01XFGCU8461H3ZB,KAPOOR AND SONS,INV/2601/00002,2026-01-02,012026,126543.73,0.0,0.0,13089.49,13089.49,1006;4819;3004;1701,ACTIVE,C01-GSTINV-00002,match
08FRKHB7356R6Z1,"CHAUDRY, CHAHAL AND SAMI",INV/2601/00003,2026-01-03,012026,123276.1,0.0,0.0,17154.06,17154.06,2106;3923;7208,ACTIVE,C01-GSTINV-00003,match
06KOGSA9577V4ZN,BALAN INC,INV/2601/00004,2026-01-04,012026,27489.63,0.0,0.0,4948.13,4948.13,4819,ACTIVE,C01-GSTINV-00004,match
09NRISO1637F5ZP,KAUL PLC,INV/2601/00005,2026-01-05,012026,9353.29,0.0,0.0,1683.6,1683.6,3923,ACTIVE,C01-GSTINV-00005,match
32RMLFM9710Q6Z5,"BALA, ISSAC AND SAINI",INV/2601/00006,2026-01-06,012026,27410.18,0.0,0.0,4904.06,4904.06,3923;2106,ACTIVE,C01-GSTINV-00006,match
06LXOSJ3168Y2ZR,SEN PLC,INV/2601/00007,2026-01-07,012026,12381.86,0.0,0.0,2187.44,2187.44,8708;3004,ACTIVE,C01-GSTINV-00007,match
32ITLVX4941P8ZG,AHUJA-DUTTA,INV/2601/00008,2026-01-08,012026,51790.8,0.0,0.0,8278.61,8278.61,3923;3004,ACTIVE,C01-GSTINV-00008,match
36DFKIM0837W1ZO,"SAMI, OAK AND MALL",INV/2601/00009,2026-01-09,012026,32258.07,0.0,0.0,5806.45,5806.45,4819,ACTIVE,C01-GSTINV-00009,match
29UXMHM3677O3ZY,KALE LLC,INV/2601/00010,2026-01-10,012026,103889.46,6856.61,6856.61,0.0,13713.22,9983;1701;8504;7208,ACTIVE,C01-GSTINV-00010,match
08MGJPZ7713S1ZJ,PARMER LLC,INV/2601/00012,2026-01-12,012026,168133.07,0.0,0.0,29576.29,29576.29,7208;9983;3004;3923,ACTIVE,C01-GSTINV-00012,match
