supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
08CDCOB6332Z4ZH,SAXENA-KEER,INV/2603/00001,2026-03-01,032026,13085.7,0.0,0.0,2355.43,2355.43,7208,ACTIVE,C03-GSTINV-00361,match
06ESHVM5785T2Z3,CHAUDHARY-PILLAI,INV/2603/00002,2026-03-02,032026,96754.79,0.0,0.0,22062.38,22062.38,7208;8708,ACTIVE,C03-GSTINV-00362,match
09BSZSG6719Z8ZW,"PARMER, BHAT AND RAO",INV/2603/00003,2026-03-03,032026,118343.14,0.0,0.0,17329.32,17329.32,7208;3004;1701,ACTIVE,C03-GSTINV-00363,match
06BGCOC2980N9Z8,GUPTA-DAS,INV/2603/00004,2026-03-04,032026,181594.0,0.0,0.0,35657.77,35657.77,8708;1006,ACTIVE,C03-GSTINV-00364,match
33YVWNP6968Q4ZB,CHAND-KALA,INV/2603/00005,2026-03-05,032026,117500.58,0.0,0.0,11803.53,11803.53,2106;1006,ACTIVE,C03-GSTINV-00365,match
29WWHMG0639U9Z2,"BAIL, BEDI AND NATH",INV/2603/00006,2026-03-06,032026,41056.79,2789.78,2789.78,0.0,5579.56,1006;8504;1701;2106,ACTIVE,C03-GSTINV-00366,match
07UGMJJ8529V8ZA,DASS PLC,INV/2603/00007,2026-03-07,032026,18295.23,0.0,0.0,1617.32,1617.32,7208;3004;1006,ACTIVE,C03-GSTINV-00367,match
19XEFMR2457W3ZK,BISWAS PLC,INV/2603/00008,2026-03-08,032026,99319.36,0.0,0.0,27026.95,27026.95,8708;7208;1701;4819,ACTIVE,C03-GSTINV-00368,match
08BVLPA4204T3ZW,KALITA AND SONS,INV/2603/00009,2026-03-09,032026,94988.14,0.0,0.0,12313.79,12313.79,3923;3004,ACTIVE,C03-GSTINV-00369,match
06SNEZP6210G3ZR,DIVAN-AGATE,INV/2603/00010,2026-03-10,032026,33250.71,0.0,0.0,8549.35,8549.35,1701;8708,ACTIVE,C03-GSTINV-00370,match
06CAOWI7375L4ZH,"KRISHNA, GHOSH AND CHOUDHARY",INV/2603/00012,2026-03-12,032026,45569.06,0.0,0.0,4172.94,4172.94,1701;9983;3004,ACTIVE,C03-GSTINV-00372,match
