supplier_gstin,supplier_name,invoice_no,invoice_date,return_period,taxable_value,cgst,sgst,igst,total_tax,hsn_codes,supplier_status,linked_doc_id,expected_mismatch_type
33RQMMA5052J1ZW,KALLA-BHARDWAJ,INV/2603/00001,2026-03-01,032026,83216.76,0.0,0.0,14655.43,14655.43,2106;8708;9983;4819,ACTIVE,C03-GSTINV-00081,match
24LGSHV0960M7ZO,"BHAT, MURTHY AND BHANDARI",INV/2603/00002,2026-03-02,032026,108339.02,0.0,0.0,18629.37,18629.37,1006;2106;7208;9983,ACTIVE,C03-GSTINV-00082,match
36XMBBY8509K1ZD,SOOD PLC,INV/2603/00003,2026-03-03,032026,26853.71,0.0,0.0,4833.67,4833.67,7208;9983,ACTIVE,C03-GSTINV-00083,match
19JTURC7302C6ZP,"DUGAR, BHANDARI AND TRIVEDI",INV/2603/00004,2026-03-04,032026,72893.76,0.0,0.0,12243.54,12243.54,1006;8504;8708,ACTIVE,C03-GSTINV-00084,match
32RCQUS0176X7ZK,GREWAL INC,INV/2603/00005,2026-03-05,032026,8184.86,0.0,0.0,409.24,409.24,1701,ACTIVE,C03-GSTINV-00085,match
06DELOK0305K7Z0,"BIR, KEER AND RAVAL",INV/2603/00006,2026-03-06,032026,89068.72,0.0,0.0,14927.89,14927.89,7208;8708;2106,ACTIVE,C03-GSTINV-00086,match
09YSMQL1038M6ZS,KOSHY PLC,INV/2603/00007,2026-03-07,032026,89721.27,0.0,0.0,16149.83,16149.83,9983;4819,ACTIVE,C03-GSTINV-00087,match
08IHUJY1917A8ZD,"BARAL, BUMB AND SAINI",INV/2603/00008,2026-03-08,032026,94066.88,0.0,0.0,9197.92,9197.92,1701;2106;3923,ACTIVE,C03-GSTINV-00088,match
27ZMKNX6573Z9Z5,"VIRK, MUTTI AND LAL",INV/2603/00009,2026-03-09,032026,100611.45,0.0,0.0,7199.64,7199.64,4819;1006,ACTIVE,C03-GSTINV-00089,match
33KTZLA2555S4ZS,MURTHY AND SONS,INV/2603/00010,2026-03-10,032026,79858.46,0.0,0.0,14232.77,14232.77,8504;8708;1006;7208,ACTIVE,C03-GSTINV-00090,match
36PFPKS2780D9ZB,"MITAL, SHANKAR AND MUTTI",INV/2603/00012,2026-03-12,032026,114167.94,0.0,0.0,20043.71,20043.71,3004;8504;4819,ACTIVE,C03-GSTINV-00092,match
19VQVSH6011J2ZB,ANDRA GROUP,INV/2603/00013,2026-03-13,032026,64358.75,0.0,0.0,12172.07,12172.07,8708;2106,INACTIVE,C03-GSTINV-00093,gstin_status_risk
29SQZOM1340L1ZV,"CHAUDHRY, BORAH AND YOGI",INV/2603/00014,2026-03-14,032026,80652.24,7258.7,7258.7,0.0,14517.4,7208;8504,ACTIVE,C03-GSTINV-00094,match
27EOUFA2275Y8ZZ,TOOR LLC,INV/2603/00015,2026-03-15,032026,5261.58,0.0,0.0,947.09,947.09,9983,ACTIVE,C03-GSTINV-00095,match
19OTTLF4762B8ZG,PALLA INC,INV/2603/00016,2026-03-16,032026,13070.01,0.0,0.0,2352.6,2352.6,8504,ACTIVE,C03-GSTINV-00096,match
32RWPLQ7885R5ZY,PINGLE LLC,INV/2603/00017,2026-03-17,032026,164863.52,0.0,0.0,28804.93,28804.93,3923;8708;2106,ACTIVE,C03-GSTINV-00097,rate_mismatch
07SDDIG8316U7ZO,SARMA PLC,INV/2603/00018,2026-03-18,032026,31169.29,0.0,0.0,1558.46,1558.46,1701,ACTIVE,C03-GSTINV-00098,match
27YIAUT7463C9ZP,"MITTAL, WADHWA AND ANAND",INV/2603/00019,2026-03-19,042026,188830.51,0.0,0.0,28568.08,28568.08,3004;3923;2106;4819,ACTIVE,C03-GSTINV-00099,period_mismatch
27LZLZX8388C6ZG,"MISTRY, CHAWLA AND DESAI",INV/2603/00020,2026-03-20,032026,125228.97,0.0,0.0,19737.23,19737.23,2106;3923;3004,ACTIVE,C03-GSTINV-00100,match
06AMDFR0689N3ZU,D’ALIA-CHHABRA,INV/2603/00021,2026-03-21,032026,18740.57,0.0,0.0,2629.15,2629.15,7208;1701,ACTIVE,C03-GSTINV-00101,match
19UGQGP7290V5ZD,"KADE, OZA AND JANI",INV/2603/00023,2026-03-23,032026,56927.18,0.0,0.0,8565.54,8565.54,3923,ACTIVE,C03-GSTINV-00103,hsn_mismatch
32BXAJI3845F8Z4,"LALLA, TIWARI AND SURESH",INV/2603/00024,2026-03-24,032026,10684.17,0.0,0.0,534.21,534.21,1006,ACTIVE,C03-GSTINV-00104,match
24NQNKS0562J2ZW,BEHL-CHANDA,INV/2603/00025,2026-03-25,032026,53694.6,0.0,0.0,7690.95,7690.95,8708;1701,ACTIVE,C03-GSTINV-00105,match
08BCLLP3771W3Z0,"SAMPATH, MALHOTRA AND BASU",INV/2603/00026,2026-03-26,032026,178593.68,0.0,0.0,26868.82,26868.82,4819;3923;1006,INACTIVE,C03-GSTINV-00106,gstin_status_risk
